2002,Murray ST,19,12
2002,NC STATE,22,10
2002,UNC-WILMINGTON,22,9
2002,Notre Dame,21,10
2002,Ohio ST,23,7
2002,Oklahoma,27,4
2002,Oklahoma ST,23,8
2002,Oregon,23,8
2002,Pennsylvania,25,6
2002,Pepperdine,22,8
2002,Pittsburgh,27,5
2002,San Diego ST,21,11
2002,Siena,16,18
2002,USC,22,9
2002,S Illinois,26,7
2002,ST JOHNS,20,11
2002,Stanford,19,9
2002,Texas,20,11
2002,Texas Tech,23,8
2002,Tulsa,26,6
2002,UCLA,19,11
2002,Utah,21,8
2002,Valparaiso,25,7
2002,Wake Forest,20,12
2002,W Kentucky,28,3
2002,Winthrop,19,11
2002,Wisconsin,18,12
2002,Wyoming,21,8
2002,XAVIER,25,5
2003,Alabama,17,11
2003,Arizona,25,3
2003,Arizona ST,19,11
2003,Auburn,20,11
2003,Austin Peay,23,7
2003,BYU,23,8
2003,Butler,25,5
2003,California,21,8
2003,C Michigan,24,6
2003,Cincinnati,17,11
2003,Colorado,20,11
2003,Colorado ST,19,13
2003,Connecticut,21,9
2003,Creighton,29,4
2003,Dayton,24,5
2003,Duke,24,6
2003,E TENN ST,20,10
2003,Florida,24,7
2003,Gonzaga,23,8
2003,Holy Cross,26,4
2003,Illinois,24,6
2003,Indiana,20,12
2003,IUPUI,20,13
2003,Kansas,25,7
2003,Kentucky,29,3
2003,LSU,21,10
2003,Louisville,24,6
2003,Manhattan,23,6
2003,Marquette,23,5
2003,Maryland,19,9
2003,Memphis,23,6
2003,Michigan ST,19,12
2003,WI-Milwaukee,24,7
2003,Mississippi ST,21,9
2003,Missouri,21,10
2003,NC STATE,18,12
2003,UNC-ASHEVILLE,14,16
2003,UNC-WILMINGTON,24,6
2003,Notre Dame,22,9
2003,Oklahoma,24,6
2003,Oklahoma ST,21,9
2003,Oregon,23,9
2003,Pennsylvania,22,5
2003,Pittsburgh,26,4
2003,Purdue,18,10
2003,Sam Houston ST,23,6
2003,San Diego,18,11
2003,S CAROLINA ST,20,10
2003,S Illinois,24,6
2003,ST JOSEPHS,23,6
2003,Stanford,23,8
2003,Texas,22,6
2003,Texas Southern,18,12
2003,Troy,26,5
2003,Tulsa,22,9
2003,Utah,24,7
2003,Utah ST,24,8
2003,Vermont,21,11
2003,Wagner,21,10
2003,Wake Forest,24,5
2003,Weber ST,26,5
2003,W Kentucky,24,8
2003,Wisconsin,22,7
2003,XAVIER,25,5
2004,Air Force,22,6
2004,Alabama,17,12
2004,Alabama ST,16,14
2004,Arizona,20,9
2004,Boston College,23,9
