1998,N Carolina,Atlantic Coast,Atlantic Coast,N Carolina,Chapel Hill,"Guthridge, Bill",1,1,1,75,64,70 - 79,60 - 69,Connecticut,0,Elite Eight,East,30,3,Automatic,Big East,Big East,Connecticut,Storrs,6,2,5,East,Greensboro,N Carolina,Saturday,March 21,1990-1999,1,0
1998,N Carolina,Atlantic Coast,Atlantic Coast,N Carolina,Chapel Hill,"Guthridge, Bill",1,1,1,73,58,70 - 79,50 - 59,Michigan St,0,Sweet Sixteen,East,30,3,Automatic,Big Ten,Big Ten,Michigan,East Lansing,16,4,15,East,Greensboro,N Carolina,Thursday,March 19,1990-1999,1,0
1998,N Carolina,Atlantic Coast,Atlantic Coast,N Carolina,Chapel Hill,"Guthridge, Bill",1,1,1,88,52,80 - 89,50 - 59,Navy,0,Round of 64,East,30,3,Automatic,Patriot,Patriot,Maryland,Annapolis,0,16,171,East,Hartford,Connecticut,Thursday,March 12,1990-1999,1,0
1998,Oklahoma St,Big Twelve,Big Twelve,Oklahoma,Stillwater,"Sutton, Eddie",0,8,36,74,59,70 - 79,50 - 59,George Washington,0,Round of 64,South,21,6,At Large,Atlantic Ten,Atlantic Ten,District of Columbia,Washington,0,9,34,South,Lexington,Kentucky,Friday,March 13,1990-1999,1,0
1998,Princeton,Ivy League,Ivy League,New Jersey,Princeton,"Carmody, Bill",8,5,21,69,57,60 - 69,50 - 59,UNLV,0,Round of 64,East,26,1,Automatic,Mountain West,Western Athletic,Nevada,Las Vegas,0,12,42,East,Hartford,Connecticut,Thursday,March 12,1990-1999,1,0
1998,Purdue,Big Ten,Big Ten,Indiana,West Lafayette,"Keady, Gene",11,2,8,95,56,90 - 99,50 - 59,Delaware,0,Round of 64,Midwest,26,7,At Large,Colonial,America East,Delaware,Newark,0,15,100,Midwest,Chicago,Illinois,Friday,March 13,1990-1999,1,0
1998,Purdue,Big Ten,Big Ten,Indiana,West Lafayette,"Keady, Gene",11,2,8,80,65,80 - 89,60 - 69,Detroit,0,Round of 32,Midwest,26,7,At Large,Horizon League,Horizon League,Michigan,Detroit,0,10,38,Midwest,Chicago,Illinois,Sunday,March 15,1990-1999,1,0
1998,Rhode Island,Atlantic Ten,Atlantic Ten,Rhode Island,Kingston,"Harrick, Jim",0,8,22,80,75,80 - 89,70 - 79,Kansas,0,Round of 32,Midwest,22,8,At Large,Big Twelve,Big Twelve,Kansas,Lawrence,2,1,4,Midwest,Oklahoma City,Oklahoma,Sunday,March 15,1990-1999,1,0
1998,Rhode Island,Atlantic Ten,Atlantic Ten,Rhode Island,Kingston,"Harrick, Jim",0,8,22,97,74,90 - 99,70 - 79,Murray St,0,Round of 64,Midwest,22,8,At Large,Ohio Valley,Ohio Valley,Kentucky,Murray,25,9,43,Midwest,Oklahoma City,Oklahoma,Friday,March 13,1990-1999,1,0
1998,Rhode Island,Atlantic Ten,Atlantic Ten,Rhode Island,Kingston,"Harrick, Jim",0,8,22,74,68,70 - 79,60 - 69,Valparaiso,0,Sweet Sixteen,Midwest,22,8,At Large,Horizon League,Summit League,Indiana,Valparaiso,0,13,83,Midwest,ST LOUIS,Missouri,Friday,March 20,1990-1999,1,0
1998,Richmond,Atlantic Ten,Colonial,Virginia,Richmond,"Beilein, John",0,14,69,62,61,60 - 69,60 - 69,S CAROLINA,0,Round of 64,East,22,7,Automatic,Southeastern,Southeastern,S CAROLINA,Columbia,14,3,9,East,Washington,District of Columbia,Thursday,March 12,1990-1999,1,0
1998,ST LOUIS,Atlantic Ten,Conference USA,Missouri,ST LOUIS,"Spoonhour, Charlie",0,10,47,51,46,50 - 59,0 - 49,Massachusetts,0,Round of 64,South,21,10,At Large,Atlantic Ten,Atlantic Ten,Massachusetts,Amherst,0,7,20,South,Atlanta,Georgia,Friday,March 13,1990-1999,1,0
1998,Stanford,Pacific Twelve,Pacific Ten,California,Palo Alto,"Montgomery, Mike",10,3,10,67,57,60 - 69,50 - 59,"COLL OF CHARLESTON",0,Round of 64,Midwest,26,4,At Large,SOUTHERN U,Atlantic Sun,S CAROLINA,COLL OF CHARLESTON,0,14,81,Midwest,Chicago,Illinois,Friday,March 13,1990-1999,1,0
1998,Stanford,Pacific Twelve,Pacific Ten,California,Palo Alto,"Montgomery, Mike",10,3,10,67,59,60 - 69,50 - 59,Purdue,0,Sweet Sixteen,Midwest,26,4,At Large,Big Ten,Big Ten,Indiana,West Lafayette,11,2,8,Midwest,ST LOUIS,Missouri,Friday,March 20,1990-1999,1,0
1998,Stanford,Pacific Twelve,Pacific Ten,California,Palo Alto,"Montgomery, Mike",10,3,10,79,77,70 - 79,70 - 79,Rhode Island,0,Elite Eight,Midwest,26,4,At Large,Atlantic Ten,Atlantic Ten,Rhode Island,Kingston,0,8,22,Midwest,ST LOUIS,Missouri,Sunday,March 22,1990-1999,1,0
1998,Stanford,Pacific Twelve,Pacific Ten,California,Palo Alto,"Montgomery, Mike",10,3,10,83,65,80 - 89,60 - 69,W MICHIGAN,0,Round of 32,Midwest,26,4,At Large,Mid American,Mid American,Michigan,Kalamazoo,0,11,58,Midwest,Chicago,Illinois,Sunday,March 15,1990-1999,1,0
1998,Syracuse,Big East,Big East,New York,Syracuse,"Boeheim, Jim",21,5,17,63,61,60 - 69,60 - 69,Iona,0,Round of 64,South,24,8,At Large,Metro Atlantic,Metro Atlantic,New York,New Rochelle,0,12,40,South,Lexington,Kentucky,Friday,March 13,1990-1999,1,0
1998,Syracuse,Big East,Big East,New York,Syracuse,"Boeheim, Jim",21,5,17,56,46,50 - 59,0 - 49,New Mexico,0,Round of 32,South,24,8,At Large,Mountain West,Western Athletic,New Mexico,Albuquerque,18,4,14,South,Lexington,Kentucky,Sunday,March 15,1990-1999,1,0
1998,UCLA,Pacific Twelve,Pacific Ten,California,Los Angeles,"Lavin, Steve",19,6,13,65,62,60 - 69,60 - 69,"MIAMI",0,Round of 64,South,22,8,At Large,Atlantic Coast,Big East,Florida,Coral Gables,0,11,49,South,Atlanta,Georgia,Friday,March 13,1990-1999,1,0
1998,UCLA,Pacific Twelve,Pacific Ten,California,Los Angeles,"Lavin, Steve",19,6,13,85,82,80 - 89,80 - 89,Michigan,0,Round of 32,South,22,8,At Large,Big Ten,Big Ten,Michigan,Ann Arbor,12,3,11,South,Atlanta,Georgia,Sunday,March 15,1990-1999,1,0
