assists_per_game,assists_per_game_allowed,blocks_per_game,blocks_per_game_against,field_goal_percentage,field_goal_percentage_allowed,free_throw_percentage,free_throw_percentage_allowed,losses,offensive_rebounds_per_game,offensive_rebounds_per_game_allowed,pf_per_game,pf_per_game_allowed,ppg,ppg_allowed,rebounds_per_game,rebounds_per_game_allowed,steals_per_game,steals_per_game_allowed,three_point_percentage,three_point_percentage_allowed,turnovers_per_game,turnovers_per_game_against,wins,won_tournament
16,8.9,3.1,1.9,49.4,42.1,69.2,70.5,5,7.1,9.9,17.8,19.5,72.9,62.7,29.5,32.2,7.8,6.6,36.8,30.9,14.2,16.1,24,0
15.7,15.9,3.6,4.1,44.8,43.4,78.7,67.5,5,12.6,13,24.5,22.8,86.7,79.8,39.2,39.2,10.3,8.7,37.2,34.9,18.2,20.2,25,0
16.7,14.7,3.3,4,45.9,41.5,68,68.6,8,14.2,10.7,16.6,18.8,79,65.4,40.6,34.6,9.9,6.6,35.7,30.2,13.6,17,25,0
15.5,11,2.9,2.8,43.8,38,70.6,68.7,6,12.1,9.9,16.7,22.5,73.5,60.7,40.7,32.1,5.7,6.9,34.3,28.4,13.1,12.8,25,0
16.3,13.7,6.9,2.5,44.8,39.1,66.3,69.4,11,12.8,11.2,17.9,18.1,72.3,63.2,39.9,35.7,9.9,8.2,31.1,34.1,16.4,18.1,21,0
12.8,13.4,3.6,3,41.4,38.5,65.4,64.7,10,12.9,11.3,15.1,17.3,66.6,58.5,36.3,35.3,9.9,5,30.9,37.1,10.5,15.5,21,0
13.6,11.9,6.3,3.3,42.3,38.4,69.6,68.1,8,11.8,12.3,18.3,20.8,72.6,65,38.8,38.6,8.7,8.5,33.2,31.8,16.1,17.1,20,0
11.5,12.2,5.1,2.5,42.4,40.6,65.1,67.5,12,12.9,10.4,17,20.5,68.4,64.9,39.1,34.6,8.2,8.2,32.4,35.7,16.1,15.5,19,0
13.9,11.1,5.4,2.7,43.7,38.4,65.4,66,9,11.2,10.9,20.5,19.7,70.4,64.4,38,35.1,8.9,9.7,35.4,32.2,17.9,17,22,0
16,15,4.2,2.4,47.4,45.2,61.6,68.1,10,10.4,11.2,19.1,20.8,77.5,75.4,35.8,37.4,8.1,8.2,34.4,39.6,16.8,17.4,18,0
