@relation tournament_winnersStripped

@attribute assists_per_game numeric
@attribute blocks_per_game numeric
@attribute field_goal_percentage numeric
@attribute field_goal_percentage_allowed numeric
@attribute losses numeric
@attribute offensive_rebounds_per_game numeric
@attribute pf_per_game numeric
@attribute ppg numeric
@attribute rebounds_per_game numeric
@attribute rebounds_per_game_allowed numeric
@attribute steals_per_game_allowed numeric
@attribute three_point_percentage numeric
@attribute three_point_percentage_allowed numeric
@attribute turnovers_per_game numeric
@attribute wins numeric
@attribute won_tournament {0,1}

@data
14,3.6,44.5,39.3,8,9.9,18,71.8,37.7,38,7.9,38,31.8,14.6,20,0
14,4.1,42.9,42.9,14,9.9,18.2,68.3,33.9,39.5,7.9,33.7,32,14.7,15,0
15.3,3.3,46.9,41.1,5,14.2,17.4,78.5,41.3,33.6,6.8,34.4,31.4,15,27,0
15.9,3.9,47.1,39.3,9,11.2,14.9,71.4,40.1,30.9,7.8,37.9,32.7,15.6,24,0
13.9,3.3,46.7,42.6,8,9.5,13.6,74.8,36.1,34.1,6.6,37,31.8,12.7,24,0
12.8,2.5,46,42.9,9,10.6,17.5,68.9,34.4,32.9,6.2,37.8,34.7,14.4,23,0
13.8,4.1,46.8,40.4,8,11.8,18.1,74.9,36.3,34.5,5.4,35.7,33.2,14.1,23,0
14,3.9,42.1,40.4,10,11.8,19.1,70.2,38.1,35.2,6.4,38.6,32.9,14.5,20,0
17,3,44.3,42.5,10,10.9,17,71.5,35.3,35.1,6.4,36.1,30.1,13.1,22,0
16.5,4,46.8,42.2,12,10.8,20.5,77,36.3,35.6,6.6,31.7,32.3,15,19,0
15.3,3,46.8,40.7,5,9.5,16,71.1,36.9,31.9,6.1,39,31.9,13,21,0
14.1,3.2,43.9,44.5,12,11,16.1,68.5,33.6,33.9,8.1,31.8,31.6,15,19,0
14.2,4.6,46.1,39.3,10,12.8,16.8,72,40.4,34.8,7.6,34.2,31.9,14.9,20,0
16,3.1,49.4,42.1,5,7.1,17.8,72.9,29.5,32.2,6.6,36.8,30.9,14.2,24,0
15.7,3.6,44.8,43.4,5,12.6,24.5,86.7,39.2,39.2,8.7,37.2,34.9,18.2,25,0
16.7,3.3,45.9,41.5,8,14.2,16.6,79,40.6,34.6,6.6,35.7,30.2,13.6,25,0
15.5,2.9,43.8,38,6,12.1,16.7,73.5,40.7,32.1,6.9,34.3,28.4,13.1,25,0
15.1,4,46,41.8,10,9.3,17.2,73.2,35.1,35,8.1,36.5,35.1,14.5,20,0
16.3,6.9,44.8,39.1,11,12.8,17.9,72.3,39.9,35.7,8.2,31.1,34.1,16.4,21,0
12.8,3.6,41.4,38.5,10,12.9,15.1,66.6,36.3,35.3,5,30.9,37.1,10.5,21,0
13.6,6.3,42.3,38.4,8,11.8,18.3,72.6,38.8,38.6,8.5,33.2,31.8,16.1,20,0
11.5,5.1,42.4,40.6,12,12.9,17,68.4,39.1,34.6,8.2,32.4,35.7,16.1,19,0
13.9,5.4,43.7,38.4,9,11.2,20.5,70.4,38,35.1,9.7,35.4,32.2,17.9,22,0
16,4.2,47.4,45.2,10,10.4,19.1,77.5,35.8,37.4,8.2,34.4,39.6,16.8,18,0
14.1,2.8,45.3,41.9,11,12.6,19.8,74,39,36.5,8.7,32.3,29.4,17,20,0
15.7,3.6,45.4,41.3,8,13.4,23.3,77.2,38.6,36.9,6.9,32.7,32.3,17,22,0
16,3.7,47.7,39.5,4,10.6,17,71.3,36,27.8,5.6,34.5,34.1,11.6,27,0
16.2,4.4,47,41.1,8,11.9,17.4,72.6,38.1,31,7.5,34,35.3,15.6,23,0
15.1,4.6,44.6,42.3,10,11.6,17.5,75,37.5,36,8.4,35.9,34.2,15.3,21,0
15.2,3.2,47.7,43.2,11,9.2,16.9,74.2,35.5,34.3,8.5,34.8,31.6,16.3,17,0
16,2.7,47.9,46.5,7,11.7,17.7,79.1,35.7,32,6.7,37.7,36.1,15,24,0
14.3,2.7,43.2,42.6,7,10.6,18.9,68.8,35.6,33.9,7.9,34.9,34.5,15.2,21,0
13.5,2.4,43.5,40.7,9,7.5,18.3,62.1,29.5,31,5,35.7,33,11.8,22,0
16.6,3.9,48.6,42.8,8,10.1,19.6,79.1,36.2,35.4,7.8,38.8,30.4,15.8,23,0
15.9,5.6,45.7,40,6,10.6,14.7,76.4,38.5,35.7,6.6,32.2,34,15.1,26,0
13.4,3.5,42.9,42.7,14,11.9,20.8,74.4,34.4,40.3,6.3,35.1,36.1,14.5,19,0
12.9,3,41.3,41,9,13.5,17.1,71.3,39.5,35.6,5.6,32.6,31.7,13.2,23,0
13.8,4.3,45.3,42.3,8,11.5,17.1,74.2,36.7,38.3,5.9,40.1,33.1,13.6,22,0
13.9,2.8,47.1,38.6,7,9.3,16.5,68,34.2,30.6,5.8,37.7,31.7,12.4,23,0
14.3,5,45.1,38.3,5,13.4,17.8,73.6,42.5,37.1,7,35.6,30.1,15.5,25,0
15.5,6.6,48,38.3,3,11.2,17.1,77.6,38.7,34.1,5.9,36.1,33.3,13.5,28,0
15.1,5,46.2,39.6,9,12.8,17,74.6,38.9,33.8,7.1,38.6,32.2,14.1,24,0
15.2,2.3,47.7,43.3,9,8.4,18.3,73,33,30.8,7.2,41.6,34.9,14.6,23,0
13.3,2.2,43.3,42.7,8,13.1,18.1,71.4,37.3,32.8,5.8,36.9,31.1,13.8,22,0
14.8,3.8,45.3,42.2,10,14.2,18.1,72.3,39.4,31.5,7.4,34.5,32.4,16.3,21,0
17.2,5.6,48.1,41.7,4,11.9,16.3,88,38.6,37.7,7.1,38.3,35.7,14.1,27,0
16.5,3.8,48,42,7,12.8,20.2,83.8,39.8,34.2,7,36.3,32.8,16.3,24,0
19.2,4.7,47.1,42.3,9,11.5,17.6,82.3,38.6,41.4,7.9,35.1,32.4,14.9,24,0
16.6,4.3,48.1,38.8,8,10.3,18.4,77.7,38.2,35.6,6.1,36.3,30.6,13.3,24,0
14,4,45.6,41.6,6,11.6,18.2,74.4,37.3,32.8,6.6,35.9,33,13.4,24,0
15.6,3.7,43.3,40.4,9,10.7,19.3,75.8,36.8,36.7,6.1,35.5,30.8,14.3,21,0
16.2,4.9,47.8,38.8,8,9.9,18,77.7,38.8,37,6.9,37.6,33.2,14.6,20,0
12.7,3.3,43.5,43.7,9,8.8,17.2,66.8,33.2,34.5,6.4,35.5,34.3,13.1,22,0
17.1,6.9,45.1,41.8,10,12.7,19.6,78.8,40.9,38,9.8,34.4,32.9,17.9,20,0
15.3,3.2,48.5,41.3,4,10.7,15.2,78.3,38.5,32.2,6.8,36.7,32.8,14,29,0
12.3,5.1,40.8,40.3,15,13.4,20.7,66.6,40.6,37.5,9.8,24.8,34,19.2,17,0
18.6,5.5,46,40.1,9,15.3,21.3,78.7,44.2,36.1,8.6,34.3,34.7,17.3,23,0
12.9,5.6,42.3,39,9,12.6,16.2,69.1,39.5,34.7,6.9,29.2,32.6,15.2,22,0
15.3,3.4,45.4,39.6,6,9.4,18.1,73.5,35.4,34.2,7.5,39,33.1,16,24,0
14.5,3.4,43,40.9,8,13.4,19.9,71.7,40.2,37.4,7.5,33.3,28.6,16.1,25,0
12.8,2.8,39,42.1,15,11.1,17.1,62.9,36.4,36.7,8.7,33.6,32.6,15.6,15,0
16.7,4.5,46.6,42.4,11,11.3,18.5,73.2,33.9,35.6,6.8,32.9,33.5,15.8,19,0
14.8,5.4,48.7,38.2,5,11.6,16.2,75.8,40.5,32.5,7.8,35.1,31.4,17.5,26,0
19,6.6,46.5,40.3,9,11.9,18.3,76.7,38.6,36.8,8.4,35.3,33.1,16.2,24,0
14.6,3.6,43.1,39.4,10,12.5,18.1,69,37.8,35.7,6.8,29.9,29.8,14.8,21,0
15.4,2.7,47.4,39.4,7,12.1,18.5,74.1,38.9,27.3,5.6,37.8,30.2,14.6,26,1
13.7,2,42.3,45,12,9.5,19.5,74.3,33.6,38.5,5.5,36.2,33,13.3,18,0
15.6,3.2,47.3,42,10,8.2,18.5,72.1,35,33.1,7.9,39,31,16.8,20,0
16.9,4.9,49.1,40.8,13,10.8,16.1,75.4,38.6,34.6,8.3,34.4,30.8,14.9,18,0
12.9,6.7,45.6,37.8,6,11.3,17.3,72.7,37.6,34.5,5.2,31.8,35.6,12.7,22,0
15.4,2.6,45.8,40.6,6,11.3,18.9,74.9,37,32.9,6.1,38.3,30.3,12.8,26,0
18.7,3.5,48,39,6,10.6,17,77.1,38.5,34.2,6.2,38.6,29.5,14.5,24,0
16.4,2.9,46.8,42.9,7,9.7,19.7,75.6,34.9,32.9,6.5,31.2,34.8,15.6,22,0
15,4.1,45.2,40.3,7,9.1,16.4,67,36.2,32.6,6.3,35.2,34.8,12.7,21,0
14.5,2.8,44.4,40.3,8,10.9,19.4,73,38.1,36.7,5.2,34.4,30.5,14.8,24,0
